City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
avera,1,US,1567467856,55,33.19,-82.53,32.0,2.1
wajima,75,JP,1567468016,93,37.4,136.9,19.0,2.6
carnarvon,0,ZA,1567468017,24,-30.97,22.13,9.37,0.27
mount isa,0,AU,1567467728,17,-20.73,139.49,23.0,9.14
tasiilaq,77,GL,1567468018,59,65.61,-37.64,6.0,3.1
jamestown,4,AU,1567468019,75,-33.21,138.6,14.97,4.5
tiksi,100,RU,1567467660,85,71.64,128.87,5.07,1.94
saint george,20,GR,1567468020,68,39.45,22.34,21.0,0.41
ponta do sol,72,BR,1567468020,51,-20.63,-46.0,23.37,1.58
khatanga,28,RU,1567468021,63,71.98,102.47,7.77,2.8
rikitea,100,PF,1567468022,85,-23.12,-134.97,22.77,6.23
arman,100,RU,1567468023,79,59.7,150.17,10.97,1.61
grafton,0,AU,1567468024,59,-29.69,152.93,18.89,1.5
saskylakh,26,RU,1567467844,69,71.97,114.09,3.27,5.22
inhambane,0,MZ,1567468025,95,-23.87,35.38,15.87,1.49
bambanglipuro,100,ID,1567468026,82,-7.95,110.28,23.37,5.31
hermanus,0,ZA,1567467864,93,-34.42,19.24,11.67,0.45
caranavi,92,BO,1567468027,85,-15.83,-67.57,13.57,0.49
hasaki,75,JP,1567467576,88,35.73,140.83,26.0,3.1
riyadh,0,SA,1567468028,23,24.63,46.72,31.0,1.34
vega baja,40,PR,1567468030,74,18.44,-66.39,29.0,3.6
the valley,20,AI,1567468031,74,18.22,-63.06,29.0,4.1
pisco,75,PE,1567468032,30,-13.71,-76.2,22.0,6.2
mar del plata,26,AR,1567468033,55,-46.43,-67.52,3.77,5.05
dolgorukovo,25,RU,1567468033,82,52.32,38.35,15.47,2.39
mehamn,100,NO,1567468034,94,71.03,27.85,10.57,2.28
spearfish,1,US,1567468035,29,44.49,-103.86,32.78,5.7
carmarthen,75,GB,1567468036,82,51.86,-4.31,16.67,10.3
porto novo,75,BR,1567468036,82,-23.68,-45.44,18.0,2.1
haines junction,86,CA,1567468037,53,60.75,-137.51,14.37,5.09
ambilobe,22,MG,1567468038,67,-13.19,49.05,21.37,2.34
darab,1,IR,1567468038,43,28.75,54.55,17.27,1.47
airai,78,TL,1567467776,43,-8.93,125.41,25.57,0.33
san patricio,0,PY,1567468040,66,-26.98,-56.83,12.87,2.99
ishigaki,75,JP,1567467945,94,24.34,124.16,28.0,6.2
husavik,91,CA,1567468042,56,50.56,-96.99,15.56,2.68
bluff,0,AU,1567468042,17,-23.58,149.07,25.17,2.25
comodoro rivadavia,75,AR,1567467741,60,-45.87,-67.48,6.0,3.1
dingle,97,PH,1567468045,79,11.0,122.67,26.47,2.93
cape town,0,ZA,1567467885,100,-33.93,18.42,12.22,1.0
san quintin,100,PH,1567468046,87,17.54,120.52,25.37,2.29
chingirlau,0,KZ,1567468047,78,51.09,54.08,8.87,1.96
luderitz,9,NA,1567467793,67,-26.65,15.16,14.0,1.0
yellowknife,90,CA,1567467935,71,62.45,-114.38,10.0,1.0
tocopilla,90,CL,1567468049,86,-22.09,-70.2,13.67,4.77
bafilo,82,TG,1567468050,94,9.35,1.24,21.87,1.51
port hardy,75,CA,1567468050,87,50.7,-127.42,14.0,2.6
longyearbyen,75,NO,1567467852,74,78.22,15.63,3.0,10.8
buala,20,SB,1567468174,69,-8.15,159.59,28.97,2.45
indaial,85,BR,1567468175,93,-26.9,-49.24,15.56,0.45
bambous virieux,75,MU,1567467776,88,-20.34,57.76,20.56,1.5
yulara,0,AU,1567467876,13,-25.24,130.99,18.0,3.16
ballina,99,IE,1567468176,95,54.11,-9.15,15.0,3.58
kununurra,11,AU,1567468177,72,-15.77,128.74,19.0,2.1
kaoma,0,ZM,1567468178,53,-14.8,24.8,17.77,2.5
bredasdorp,0,ZA,1567467894,93,-34.53,20.04,7.0,2.1
klaksvik,36,FO,1567468179,93,62.23,-6.59,4.0,5.14
pitkyaranta,0,RU,1567468180,87,61.57,31.48,16.97,7.29
provideniya,90,RU,1567467870,76,64.42,-173.23,11.0,7.0
